Title,Abstract,Category,Cleaned_Title,Cleaned_Abstract
"Democratising AI: Multiple Meanings, Goals, and Methods","Numerous parties are calling for “the democratisation of AI”, but the phrase is used to refer to a variety of goals, the pursuit of which sometimes conflict. This paper identifies four kinds of “AI democratisation” that are commonly discussed: (1) the democratisation of AI use, (2) the democratisation of AI development, (3) the democratisation of AI profits, and (4) the democratisation of AI governance. Numerous goals and methods of achieving each form of democratisation are discussed. The main takeaway from this paper is that AI democratisation is a multifarious and sometimes conflicting concept that should not be conflated with improving AI accessibility. If we want to move beyond ambiguous commitments to “democratising AI”, to productive discussions of concrete policies and trade-offs, then we need to recognise the principal role of the democratisation of AI governance in navigating tradeoffs and risks across decisions around use, development, and profits.",Artificial Intelligence,democratis ai multipl mean goal method,numer parti call democratis ai phrase use refer varieti goal pursuit sometim conflict paper identifi four kind ai democratis commonli discuss 1 democratis ai use 2 democratis ai develop 3 democratis ai profit 4 democratis ai govern numer goal method achiev form democratis discuss main takeaway paper ai democratis multifari sometim conflict concept conflat improv ai access want move beyond ambigu commit democratis ai product discuss concret polici tradeoff need recognis princip role democratis ai govern navig tradeoff risk across decis around use develop profit
In Search of Verifiability: Explanations Rarely Enable Complementary Performance in AI-Advised Decision Making,"The current literature on AI‐advised decision making—involving explainable AI systems advising human decision makers—presents a series of inconclusive and confounding results. To synthesize these findings, we propose a simple theory that elucidates the frequent failure of AI explanations to engender appropriate reliance and complementary decision making performance. In contrast to other common desiderata, for example, interpretability or spelling out the AI's reasoning process, we argue that explanations are only useful to the extent that they allow a human decision maker to verify the correctness of the AI's prediction. Prior studies find in many decision making contexts that AI explanations do not facilitate such verification. Moreover, most tasks fundamentally do not allow easy verification, regardless of explanation method, limiting the potential benefit of any type of explanation. We also compare the objective of complementary performance with that of appropriate reliance, decomposing the latter into the notions of outcome‐graded and strategy‐graded reliance.",Artificial Intelligence,search verifi explan rare enabl complementari perform aiadvis decis make,current literatur aiadvis decis makinginvolv explain ai system advis human decis makerspres seri inconclus confound result synthes find propos simpl theori elucid frequent failur ai explan engend appropri relianc complementari decis make perform contrast common desiderata exampl interpret spell ai reason process argu explan use extent allow human decis maker verifi correct ai predict prior studi find mani decis make context ai explan facilit verif moreov task fundament allow easi verif regardless explan method limit potenti benefit type explan also compar object complementari perform appropri relianc decompos latter notion outcomegrad strategygrad relianc
Habitat: A Platform for Embodied AI Research,"We present Habitat, a platform for research in embodied artificial intelligence (AI). Habitat enables training embodied agents (virtual robots) in highly efficient photorealistic 3D simulation. Specifically, Habitat consists of: (i) Habitat-Sim: a flexible, high-performance 3D simulator with configurable agents, sensors, and generic 3D dataset handling. Habitat-Sim is fast -- when rendering a scene from Matterport3D, it achieves several thousand frames per second (fps) running single-threaded, and can reach over 10,000 fps multi-process on a single GPU. (ii) Habitat-API: a modular high-level library for end-to-end development of embodied AI algorithms -- defining tasks (e.g., navigation, instruction following, question answering), configuring, training, and benchmarking embodied agents. These large-scale engineering contributions enable us to answer scientific questions requiring experiments that were till now impracticable or 'merely' impractical. Specifically, in the context of point-goal navigation: (1) we revisit the comparison between learning and SLAM approaches from two recent works and find evidence for the opposite conclusion -- that learning outperforms SLAM if scaled to an order of magnitude more experience than previous investigations, and (2) we conduct the first cross-dataset generalization experiments {train, test} x {Matterport3D, Gibson} for multiple sensors {blind, RGB, RGBD, D} and find that only agents with depth (D) sensors generalize across datasets. We hope that our open-source platform and these findings will advance research in embodied AI.",Artificial Intelligence,habitat platform embodi ai research,present habitat platform research embodi artifici intellig ai habitat enabl train embodi agent virtual robot highli effici photorealist 3d simul specif habitat consist habitatsim flexibl highperform 3d simul configur agent sensor gener 3d dataset handl habitatsim fast render scene matterport3d achiev sever thousand frame per second fp run singlethread reach 10000 fp multiprocess singl gpu ii habitatapi modular highlevel librari endtoend develop embodi ai algorithm defin task eg navig instruct follow question answer configur train benchmark embodi agent largescal engin contribut enabl us answer scientif question requir experi till impractic mere impract specif context pointgoal navig 1 revisit comparison learn slam approach two recent work find evid opposit conclus learn outperform slam scale order magnitud experi previou investig 2 conduct first crossdataset gener experi train test x matterport3d gibson multipl sensor blind rgb rgbd find agent depth sensor gener across dataset hope opensourc platform find advanc research embodi ai
Fusing Blockchain and AI With Metaverse: A Survey,"Metaverse as the latest buzzword has attracted great attention from both industry and academia. Metaverse seamlessly integrates the real world with the virtual world and allows avatars to carry out rich activities including creation, display, entertainment, social networking, and trading. Thus, it is promising to build an exciting digital world and to transform a better physical world through the exploration of the metaverse. In this survey, we dive into the metaverse by discussing how Blockchain and Artificial Intelligence (AI) fuse with it through investigating the state-of-the-art studies across the metaverse components, digital currencies, AI applications in the virtual world, and blockchain-empowered technologies. Further exploitation and interdisciplinary research on the fusion of AI and Blockchain towards metaverse will definitely require collaboration from both academia and industries. We wish that our survey can help researchers, engineers, and educators build an open, fair, and rational future metaverse.",Artificial Intelligence,fuse blockchain ai metavers survey,metavers latest buzzword attract great attent industri academia metavers seamlessli integr real world virtual world allow avatar carri rich activ includ creation display entertain social network trade thu promis build excit digit world transform better physic world explor metavers survey dive metavers discuss blockchain artifici intellig ai fuse investig stateoftheart studi across metavers compon digit currenc ai applic virtual world blockchainempow technolog exploit interdisciplinari research fusion ai blockchain toward metavers definit requir collabor academia industri wish survey help research engin educ build open fair ration futur metavers
"AI-Based Modeling: Techniques, Applications and Research Issues Towards Automation, Intelligent and Smart Systems","Artificial intelligence (AI) is a leading technology of the current age of the Fourth Industrial Revolution (Industry 4.0 or 4IR), with the capability of incorporating human behavior and intelligence into machines or systems. Thus, AI-based modeling is the key to build automated, intelligent, and smart systems according to today’s needs. To solve real-world issues, various types of AI such as analytical, functional, interactive, textual, and visual AI can be applied to enhance the intelligence and capabilities of an application. However, developing an effective AI model is a challenging task due to the dynamic nature and variation in real-world problems and data. In this paper, we present a comprehensive view on “AI-based Modeling” with the principles and capabilities of potential AI techniques that can play an important role in developing intelligent and smart systems in various real-world application areas including business, finance, healthcare, agriculture, smart cities, cybersecurity and many more. We also emphasize and highlight the research issues within the scope of our study. Overall, the goal of this paper is to provide a broad overview of AI-based modeling that can be used as a reference guide by academics and industry people as well as decision-makers in various real-world scenarios and application domains.",Artificial Intelligence,aibas model techniqu applic research issu toward autom intellig smart system,artifici intellig ai lead technolog current age fourth industri revolut industri 40 4ir capabl incorpor human behavior intellig machin system thu aibas model key build autom intellig smart system accord today need solv realworld issu variou type ai analyt function interact textual visual ai appli enhanc intellig capabl applic howev develop effect ai model challeng task due dynam natur variat realworld problem data paper present comprehens view aibas model principl capabl potenti ai techniqu play import role develop intellig smart system variou realworld applic area includ busi financ healthcar agricultur smart citi cybersecur mani also emphas highlight research issu within scope studi overal goal paper provid broad overview aibas model use refer guid academ industri peopl well decisionmak variou realworld scenario applic domain
"Advances, challenges and opportunities in creating data for trustworthy AI","As artificial intelligence (AI) transitions from research to deployment, creating the appropriate datasets and data pipelines to develop and evaluate AI models is increasingly the biggest challenge. Automated AI model builders that are publicly available can now achieve top performance in many applications. In contrast, the design and sculpting of the data used to develop AI often rely on bespoke manual work, and they critically affect the trustworthiness of the model. This Perspective discusses key considerations for each stage of the data-for-AI pipeline—starting from data design to data sculpting (for example, cleaning, valuation and annotation) and data evaluation—to make AI more reliable. We highlight technical advances that help to make the data-for-AI pipeline more scalable and rigorous. Furthermore, we discuss how recent data regulations and policies can impact AI. It has become rapidly clear in the past few years that the creation, use and maintenance of high-quality annotated datasets for robust and reliable AI applications requires careful attention. This Perspective discusses challenges, considerations and best practices for various stages in the data-to-AI pipeline, to encourage a more data-centric approach.",Artificial Intelligence,advanc challeng opportun creat data trustworthi ai,artifici intellig ai transit research deploy creat appropri dataset data pipelin develop evalu ai model increasingli biggest challeng autom ai model builder publicli avail achiev top perform mani applic contrast design sculpt data use develop ai often reli bespok manual work critic affect trustworthi model perspect discuss key consider stage dataforai pipelinestart data design data sculpt exampl clean valuat annot data evaluationto make ai reliabl highlight technic advanc help make dataforai pipelin scalabl rigor furthermor discuss recent data regul polici impact ai becom rapidli clear past year creation use mainten highqual annot dataset robust reliabl ai applic requir care attent perspect discuss challeng consider best practic variou stage datatoai pipelin encourag datacentr approach
Artificial Intelligence (AI) and Internet of Medical Things (IoMT) Assisted Biomedical Systems for Intelligent Healthcare,"Artificial intelligence (AI) is a modern approach based on computer science that develops programs and algorithms to make devices intelligent and efficient for performing tasks that usually require skilled human intelligence. AI involves various subsets, including machine learning (ML), deep learning (DL), conventional neural networks, fuzzy logic, and speech recognition, with unique capabilities and functionalities that can improve the performances of modern medical sciences. Such intelligent systems simplify human intervention in clinical diagnosis, medical imaging, and decision-making ability. In the same era, the Internet of Medical Things (IoMT) emerges as a next-generation bio-analytical tool that combines network-linked biomedical devices with a software application for advancing human health. In this review, we discuss the importance of AI in improving the capabilities of IoMT and point-of-care (POC) devices used in advanced healthcare sectors such as cardiac measurement, cancer diagnosis, and diabetes management. The role of AI in supporting advanced robotic surgeries developed for advanced biomedical applications is also discussed in this article. The position and importance of AI in improving the functionality, detection accuracy, decision-making ability of IoMT devices, and evaluation of associated risks assessment is discussed carefully and critically in this review. This review also encompasses the technological and engineering challenges and prospects for AI-based cloud-integrated personalized IoMT devices for designing efficient POC biomedical systems suitable for next-generation intelligent healthcare.",Artificial Intelligence,artifici intellig ai internet medic thing iomt assist biomed system intellig healthcar,artifici intellig ai modern approach base comput scienc develop program algorithm make devic intellig effici perform task usual requir skill human intellig ai involv variou subset includ machin learn ml deep learn dl convent neural network fuzzi logic speech recognit uniqu capabl function improv perform modern medic scienc intellig system simplifi human intervent clinic diagnosi medic imag decisionmak abil era internet medic thing iomt emerg nextgener bioanalyt tool combin networklink biomed devic softwar applic advanc human health review discuss import ai improv capabl iomt pointofcar poc devic use advanc healthcar sector cardiac measur cancer diagnosi diabet manag role ai support advanc robot surgeri develop advanc biomed applic also discuss articl posit import ai improv function detect accuraci decisionmak abil iomt devic evalu associ risk assess discuss care critic review review also encompass technolog engin challeng prospect aibas cloudintegr person iomt devic design effici poc biomed system suitabl nextgener intellig healthcar
"Everyone wants to do the model work, not the data work”: Data Cascades in High-Stakes AI","AI models are increasingly applied in high-stakes domains like health and conservation. Data quality carries an elevated significance in high-stakes AI due to its heightened downstream impact, impacting predictions like cancer detection, wildlife poaching, and loan allocations. Paradoxically, data is the most under-valued and de-glamorised aspect of AI. In this paper, we report on data practices in high-stakes AI, from interviews with 53 AI practitioners in India, East and West African countries, and USA. We define, identify, and present empirical evidence on Data Cascades—compounding events causing negative, downstream effects from data issues—triggered by conventional AI/ML practices that undervalue data quality. Data cascades are pervasive (92% prevalence), invisible, delayed, but often avoidable. We discuss HCI opportunities in designing and incentivizing data excellence as a first-class citizen of AI, resulting in safer and more robust systems for all.",Artificial Intelligence,everyon want model work data work data cascad highstak ai,ai model increasingli appli highstak domain like health conserv data qualiti carri elev signific highstak ai due heighten downstream impact impact predict like cancer detect wildlif poach loan alloc paradox data undervalu deglamoris aspect ai paper report data practic highstak ai interview 53 ai practition india east west african countri usa defin identifi present empir evid data cascadescompound event caus neg downstream effect data issuestrigg convent aiml practic undervalu data qualiti data cascad pervas 92 preval invis delay often avoid discuss hci opportun design incentiv data excel firstclass citizen ai result safer robust system
Explainable AI: A Review of Machine Learning Interpretability Methods,"Recent advances in artificial intelligence (AI) have led to its widespread industrial adoption, with machine learning systems demonstrating superhuman performance in a significant number of tasks. However, this surge in performance, has often been achieved through increased model complexity, turning such systems into “black box” approaches and causing uncertainty regarding the way they operate and, ultimately, the way that they come to decisions. This ambiguity has made it problematic for machine learning systems to be adopted in sensitive yet critical domains, where their value could be immense, such as healthcare. As a result, scientific interest in the field of Explainable Artificial Intelligence (XAI), a field that is concerned with the development of new methods that explain and interpret machine learning models, has been tremendously reignited over recent years. This study focuses on machine learning interpretability methods; more specifically, a literature review and taxonomy of these methods are presented, as well as links to their programming implementations, in the hope that this survey would serve as a reference point for both theorists and practitioners.",Artificial Intelligence,explain ai review machin learn interpret method,recent advanc artifici intellig ai led widespread industri adopt machin learn system demonstr superhuman perform signific number task howev surg perform often achiev increas model complex turn system black box approach caus uncertainti regard way oper ultim way come decis ambigu made problemat machin learn system adopt sensit yet critic domain valu could immens healthcar result scientif interest field explain artifici intellig xai field concern develop new method explain interpret machin learn model tremend reignit recent year studi focus machin learn interpret method specif literatur review taxonomi method present well link program implement hope survey would serv refer point theorist practition
Reporting guideline for the early stage clinical evaluation of decision support systems driven by artificial intelligence: DECIDE-AI,"A growing number of artificial intelligence (AI)-based clinical decision support systems are showing promising performance in preclinical, in silico, evaluation, but few have yet demonstrated real benefit to patient care. Early stage clinical evaluation is important to assess an AI system’s actual clinical performance at small scale, ensure its safety, evaluate the human factors surrounding its use, and pave the way to further large scale trials. However, the reporting of these early studies remains inadequate. The present statement provides a multistakeholder, consensus-based reporting guideline for the Developmental and Exploratory Clinical Investigations of DEcision support systems driven by Artificial Intelligence (DECIDE-AI). We conducted a two round, modified Delphi process to collect and analyse expert opinion on the reporting of early clinical evaluation of AI systems. Experts were recruited from 20 predefined stakeholder categories. The final composition and wording of the guideline was determined at a virtual consensus meeting. The checklist and the Explanation & Elaboration (E&E) sections were refined based on feedback from a qualitative evaluation process. 123 experts participated in the first round of Delphi, 138 in the second, 16 in the consensus meeting, and 16 in the qualitative evaluation. The DECIDE-AI reporting guideline comprises 17 AI specific reporting items (made of 28 subitems) and 10 generic reporting items, with an E&E paragraph provided for each. Through consultation and consensus with a range of stakeholders, we have developed a guideline comprising key items that should be reported in early stage clinical studies of AI-based decision support systems in healthcare. By providing an actionable checklist of minimal reporting items, the DECIDE-AI guideline will facilitate the appraisal of these studies and replicability of their findings.",Artificial Intelligence,report guidelin earli stage clinic evalu decis support system driven artifici intellig decideai,grow number artifici intellig aibas clinic decis support system show promis perform preclin silico evalu yet demonstr real benefit patient care earli stage clinic evalu import assess ai system actual clinic perform small scale ensur safeti evalu human factor surround use pave way larg scale trial howev report earli studi remain inadequ present statement provid multistakehold consensusbas report guidelin development exploratori clinic investig decis support system driven artifici intellig decideai conduct two round modifi delphi process collect analys expert opinion report earli clinic evalu ai system expert recruit 20 predefin stakehold categori final composit word guidelin determin virtual consensu meet checklist explan elabor ee section refin base feedback qualit evalu process 123 expert particip first round delphi 138 second 16 consensu meet 16 qualit evalu decideai report guidelin compris 17 ai specif report item made 28 subitem 10 gener report item ee paragraph provid consult consensu rang stakehold develop guidelin compris key item report earli stage clinic studi aibas decis support system healthcar provid action checklist minim report item decideai guidelin facilit apprais studi replic find
Multimodal biomedical AI,"The increasing availability of biomedical data from large biobanks, electronic health records, medical imaging, wearable and ambient biosensors, and the lower cost of genome and microbiome sequencing have set the stage for the development of multimodal artificial intelligence solutions that capture the complexity of human health and disease. In this Review, we outline the key applications enabled, along with the technical and analytical challenges. We explore opportunities in personalized medicine, digital clinical trials, remote monitoring and care, pandemic surveillance, digital twin technology and virtual health assistants. Further, we survey the data, modeling and privacy challenges that must be overcome to realize the full potential of multimodal artificial intelligence in health. Multimodal artificial intelligence models could unlock many exciting applications in health an",Artificial Intelligence,multimod biomed ai,increas avail biomed data larg biobank electron health record medic imag wearabl ambient biosensor lower cost genom microbiom sequenc set stage develop multimod artifici intellig solut captur complex human health diseas review outlin key applic enabl along technic analyt challeng explor opportun person medicin digit clinic trial remot monitor care pandem surveil digit twin technolog virtual health assist survey data model privaci challeng must overcom realiz full potenti multimod artifici intellig health multimod artifici intellig model could unlock mani excit applic health
Opportunities and Adoption Challenges of AI in the Construction Industry: A PRISMA Review,"Artificial intelligence (AI) is a powerful technology with a range of capabilities, which are beginning to become apparent in all industries nowadays. The increased popularity of AI in the construction industry, however, is rather limited in comparison to other industry sectors. Moreover, despite AI being a hot topic in built environment research, there are limited review studies that investigate the reasons for the low-level AI adoption in the construction industry. This study aims to reduce this gap by identifying the adoption challenges of AI, along with the opportunities offered, for the construction industry. To achieve the aim, the study adopts a systematic literature review approach using the PRISMA protocol. In addition, the systematic review of the literature focuses on the planning, design, and construction stages of the construction project lifecycle. The results of the review reveal that (a) AI is particularly beneficial in the planning stage as the success of construction projects depends on accurate events, risks, and cost forecasting; (b) the major opportunity in adopting AI is to reduce the time spent on repetitive tasks by using big data analytics and improving the work processes; and (c) the biggest challenge to incorporate AI on a construction site is the fragmented nature of the industry, which has resulted in issues of data acquisition and retention. The findings of the study inform a range of parties that operate in the construction industry concerning the opportunities and challenges of AI adaptability and help increase the market acceptance of AI practices",Artificial Intelligence,opportun adopt challeng ai construct industri prisma review,artifici intellig ai power technolog rang capabl begin becom appar industri nowaday increas popular ai construct industri howev rather limit comparison industri sector moreov despit ai hot topic built environ research limit review studi investig reason lowlevel ai adopt construct industri studi aim reduc gap identifi adopt challeng ai along opportun offer construct industri achiev aim studi adopt systemat literatur review approach use prisma protocol addit systemat review literatur focus plan design construct stage construct project lifecycl result review reveal ai particularli benefici plan stage success construct project depend accur event risk cost forecast b major opportun adopt ai reduc time spent repetit task use big data analyt improv work process c biggest challeng incorpor ai construct site fragment natur industri result issu data acquisit retent find studi inform rang parti oper construct industri concern opportun challeng ai adapt help increas market accept ai practic
The global landscape of AI ethics guidelines,"In the past five years, private companies, research institutions and public sector organizations have issued principles and guidelines for ethical artificial intelligence (AI). However, despite an apparent agreement that AI should be ‘ethical’, there is debate about both what constitutes ‘ethical AI’ and which ethical requirements, technical standards and best practices are needed for its realization. To investigate whether a global agreement on these questions is emerging, we mapped and analysed the current corpus of principles and guidelines on ethical AI. Our results reveal a global convergence emerging around five ethical principles (transparency, justice and fairness, non-maleficence, responsibility and privacy), with substantive divergence in relation to how these principles are interpreted, why they are deemed important, what issue, domain or actors they pertain to, and how they should be implemented. Our findings highlight the importance of integrating guideline-development efforts with substantive ethical analysis and adequate implementation strategies. As AI technology develops rapidly, it is widely recognized that ethical guidelines are required for safe and fair implementation in society. But is it possible to agree on what is ‘ethical AI’? A detailed analysis of 84 AI ethics reports around the world, from national and international organizations, companies and institutes, explores this question, finding a convergence around core principles but substantial divergence on practical implementation.",Artificial Intelligence,global landscap ai ethic guidelin,past five year privat compani research institut public sector organ issu principl guidelin ethic artifici intellig ai howev despit appar agreement ai ethic debat constitut ethic ai ethic requir technic standard best practic need realiz investig whether global agreement question emerg map analys current corpu principl guidelin ethic ai result reveal global converg emerg around five ethic principl transpar justic fair nonmalefic respons privaci substant diverg relat principl interpret deem import issu domain actor pertain implement find highlight import integr guidelinedevelop effort substant ethic analysi adequ implement strategi ai technolog develop rapidli wide recogn ethic guidelin requir safe fair implement societi possibl agre ethic ai detail analysi 84 ai ethic report around world nation intern organ compani institut explor question find converg around core principl substanti diverg practic implement
A Survey on the Convergence of Edge Computing and AI for UAVs: Opportunities and Challenges,"The latest 5G mobile networks have enabled many exciting Internet of Things (IoT) applications that employ unmanned aerial vehicles (UAVs/drones). The success of most UAV-based IoT applications is heavily dependent on artificial intelligence (AI) technologies, for instance, computer vision and path planning. These AI methods must process data and provide decisions while ensuring low latency and low energy consumption. However, the existing cloud-based AI paradigm finds it difficult to meet these strict UAV requirements. Edge AI, which runs AI on-device or on edge servers close to users, can be suitable for improving UAV-based IoT services. This article provides a comprehensive analysis of the impact of edge AI on key UAV technical aspects (i.e., autonomous navigation, formation control, power management, security and privacy, computer vision, and communication) and applications (i.e., delivery systems, civil infrastructure inspection, precision agriculture, search and rescue (SAR) operations, acting as aerial wireless base stations (BSs), and drone light shows). As guidance for researchers and practitioners, this article also explores UAV-based edge AI implementation challenges, lessons learned, and future research directions.",Artificial Intelligence,survey converg edg comput ai uav opportun challeng,latest 5g mobil network enabl mani excit internet thing iot applic employ unman aerial vehicl uavsdron success uavbas iot applic heavili depend artifici intellig ai technolog instanc comput vision path plan ai method must process data provid decis ensur low latenc low energi consumpt howev exist cloudbas ai paradigm find difficult meet strict uav requir edg ai run ai ondevic edg server close user suitabl improv uavbas iot servic articl provid comprehens analysi impact edg ai key uav technic aspect ie autonom navig format control power manag secur privaci comput vision commun applic ie deliveri system civil infrastructur inspect precis agricultur search rescu sar oper act aerial wireless base station bss drone light show guidanc research practition articl also explor uavbas edg ai implement challeng lesson learn futur research direct
Queer In AI: A Case Study in Community-Led Participatory AI,"Queerness and queer people face an uncertain future in the face of ever more widely deployed and invasive artificial intelligence (AI). These technologies have caused numerous harms to queer people, including privacy violations, censoring and downranking queer content, exposing queer people and spaces to harassment by making them hypervisible, deadnaming and outing queer people. More broadly, they have violated core tenets of queerness by classifying and controlling queer identities. In response to this, the queer community in AI has organized Queer in AI, a global, decentralized, volunteer-run grassroots organization that employs intersectional and community-led participatory design to build an inclusive and equitable AI future. In this paper, we present Queer in AI as a case study for community-led participatory design in AI. We examine how participatory design and intersectional tenets started and shaped this community’s programs over the years. We discuss different challenges that emerged in the process, look at ways this organization has fallen short of operationalizing participatory and intersectional principles, and then assess the organization’s impact. Queer in AI provides important lessons and insights for practitioners and theorists of participatory methods broadly through its rejection of hierarchy in favor of decentralization, success at building aid and programs by and for the queer community, and effort to change actors and institutions outside of the queer community. Finally, we theorize how communities like Queer in AI contribute to the participatory design in AI more broadly by fostering cultures of participation in AI, welcoming and empowering marginalized participants, critiquing poor or exploitative participatory practices, and bringing participation to institutions outside of individual research projects. Queer in AI’s work serves as a case study of grassroots activism and participatory methods within AI, demonstrating the potential of community-led participatory methods and intersectional praxis, while also providing challenges, case studies, and nuanced insights to researchers developing and using participatory methods.",Artificial Intelligence,queer ai case studi communityl participatori ai,queer queer peopl face uncertain futur face ever wide deploy invas artifici intellig ai technolog caus numer harm queer peopl includ privaci violat censor downrank queer content expos queer peopl space harass make hypervis deadnam outing queer peopl broadli violat core tenet queer classifi control queer ident respons queer commun ai organ queer ai global decentr volunteerrun grassroot organ employ intersect communityl participatori design build inclus equit ai futur paper present queer ai case studi communityl participatori design ai examin participatori design intersect tenet start shape commun program year discuss differ challeng emerg process look way organ fallen short operation participatori intersect principl assess organ impact queer ai provid import lesson insight practition theorist participatori method broadli reject hierarchi favor decentr success build aid program queer commun effort chang actor institut outsid queer commun final theoriz commun like queer ai contribut participatori design ai broadli foster cultur particip ai welcom empow margin particip critiqu poor exploit participatori practic bring particip institut outsid individu research project queer ai work serv case studi grassroot activ participatori method within ai demonstr potenti communityl participatori method intersect praxi also provid challeng case studi nuanc insight research develop use participatori method
What is AI Literacy? Competencies and Design Considerations,"Artificial intelligence (AI) is becoming increasingly integrated in user-facing technology, but public understanding of these technologies is often limited. There is a need for additional HCI research investigating a) what competencies users need in order to effectively interact with and critically evaluate AI and b) how to design learner-centered AI technologies that foster increased user understanding of AI. This paper takes a step towards realizing both of these goals by providing a concrete definition of AI literacy based on existing research. We synthesize a variety of interdisciplinary literature into a set of core competencies of AI literacy and suggest several design considerations to support AI developers and educators in creating learner-centered AI. These competencies and design considerations are organized in a conceptual framework thematically derived from the literature. This paper's contributions can be used to start a conversation about and guide future research on AI literacy within the HCI community.",Artificial Intelligence,ai literaci compet design consider,artifici intellig ai becom increasingli integr userfac technolog public understand technolog often limit need addit hci research investig compet user need order effect interact critic evalu ai b design learnercent ai technolog foster increas user understand ai paper take step toward realiz goal provid concret definit ai literaci base exist research synthes varieti interdisciplinari literatur set core compet ai literaci suggest sever design consider support ai develop educ creat learnercent ai compet design consider organ conceptu framework themat deriv literatur paper contribut use start convers guid futur research ai literaci within hci commun
"AI4People—An Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations","This article reports the findings of AI4People, an Atomium—EISMD initiative designed to lay the foundations for a “Good AI Society”. We introduce the core opportunities and risks of AI for society; present a synthesis of five ethical principles that should undergird its development and adoption; and offer 20 concrete recommendations—to assess, to develop, to incentivise, and to support good AI—which in some cases may be undertaken directly by national or supranational policy makers, while in others may be led by other stakeholders. If adopted, these recommendations would serve as a firm foundation for the establishment of a Good AI Society.",Artificial Intelligence,ai4peoplean ethic framework good ai societi opportun risk principl recommend,articl report find ai4peopl atomiumeismd initi design lay foundat good ai societi introduc core opportun risk ai societi present synthesi five ethic principl undergird develop adopt offer 20 concret recommendationsto assess develop incentivis support good aiwhich case may undertaken directli nation supran polici maker other may led stakehold adopt recommend would serv firm foundat establish good ai societi
Intelligent Clinical Documentation: Harnessing Generative AI for Patient-Centric Clinical Note Generation,"Comprehensive clinical documentation is crucial for effective healthcare delivery, yet it poses a significant burden on healthcare professionals, leading to burnout, increased medical errors, and compromised patient safety. This paper explores the potential of generative AI (Artificial Intelligence) to streamline the clinical documentation process, specifically focusing on generating SOAP (Subjective, Objective, Assessment, Plan) and BIRP (Behavior, Intervention, Response, Plan) notes. We present a case study demonstrating the application of natural language processing (NLP) and automatic speech recognition (ASR) technologies to transcribe patient-clinician interactions, coupled with advanced prompting techniques to generate draft clinical notes using large language models (LLMs). The study highlights the benefits of this approach, including time savings, improved documentation quality, and enhanced patient-centered care. Additionally, we discuss ethical considerations, such as maintaining patient confidentiality and addressing model biases, underscoring the need for responsible deployment of generative AI in healthcare settings. The findings suggest that generative AI has the potential to revolutionize clinical documentation practices, alleviating administrative burdens and enabling healthcare professionals to focus more on direct patient care.",Artificial Intelligence,intellig clinic document har gener ai patientcentr clinic note gener,comprehens clinic document crucial effect healthcar deliveri yet pose signific burden healthcar profession lead burnout increas medic error compromis patient safeti paper explor potenti gener ai artifici intellig streamlin clinic document process specif focus gener soap subject object assess plan birp behavior intervent respons plan note present case studi demonstr applic natur languag process nlp automat speech recognit asr technolog transcrib patientclinician interact coupl advanc prompt techniqu gener draft clinic note use larg languag model llm studi highlight benefit approach includ time save improv document qualiti enhanc patientcent care addit discuss ethic consider maintain patient confidenti address model bias underscor need respons deploy gener ai healthcar set find suggest gener ai potenti revolution clinic document practic allevi administr burden enabl healthcar profession focu direct patient care
Trust in AI and Its Role in the Acceptance of AI Technologies,"Abstract As AI-enhanced technologies become common in a variety of domains, there is an increasing need to define and examine the trust that users have in such technologies. Given the progress in the development of AI, a correspondingly sophisticated understanding of trust in the technology is required. This paper addresses this need by explaining the role of trust in the intention to use AI technologies. Study 1 examined the role of trust in the use of AI voice assistants based on survey responses from college students. A path analysis confirmed that trust had a significant effect the on intention to use AI, which operated through perceived usefulness and participants’ attitude toward voice assistants. In Study 2, using data from a representative sample of the U.S. population, different dimensions of trust were examined using exploratory factor analysis, which yielded two dimensions: human-like trust and functionality trust. The results of the path analyses from Study 1 were replicated in Study 2, confirming the indirect effect of trust and the effects of perceived usefulness, ease of use, and attitude on intention to use. Further, both dimensions of trust shared a similar pattern of effects within the model, with functionality-related trust exhibiting a greater total impact on usage intention than human-like trust. Overall, the role of trust in the acceptance of AI technologies was significant across both studies. This research contributes to the advancement and application of the TAM in AI-related applications and",Artificial Intelligence,trust ai role accept ai technolog,abstract aienhanc technolog becom common varieti domain increas need defin examin trust user technolog given progress develop ai correspondingli sophist understand trust technolog requir paper address need explain role trust intent use ai technolog studi 1 examin role trust use ai voic assist base survey respons colleg student path analysi confirm trust signific effect intent use ai oper perceiv use particip attitud toward voic assist studi 2 use data repres sampl us popul differ dimens trust examin use exploratori factor analysi yield two dimens humanlik trust function trust result path analys studi 1 replic studi 2 confirm indirect effect trust effect perceiv use eas use attitud intent use dimens trust share similar pattern effect within model functionalityrel trust exhibit greater total impact usag intent humanlik trust overal role trust accept ai technolog signific across studi research contribut advanc applic tam airel applic
