No,Title,Abstract,Author,Link,Category,Unnamed: 6,Unnamed: 7,Author ,Cleaned_Abstract,Cleaned_Title,Text
62,Guidelines for Human-AI Interaction,"Advances in artificial intelligence (AI) frame opportunities and challenges for user interface design. Principles for human-AI interaction have been discussed in the human-computer interaction community for over two decades, but more study and innovation are needed in light of advances in AI and the growing uses of AI technologies in human-facing applications. We propose 18 generally applicable design guidelines for human-AI interaction. These guidelines are validated through multiple rounds of evaluation including a user study with 49 design practitioners who tested the guidelines against 20 popular AI-infused products. The results verify the relevance of the guidelines over a spectrum of interaction scenarios and reveal gaps in our knowledge, highlighting opportunities for further research. Based on the evaluations, we believe the set of design guidelines can serve as a resource to practitioners working on the design of applications and features that harness AI technologies, and to researchers interested in the further development of human-AI interaction design principles.","Saleema Amershi, Daniel S. Weld, Mihaela Vorvoreanu, Adam Fourney, Besmira Nushi, Penny Collisson, Jina Suh, Shamsi T. Iqbal, Paul N. Bennett, K. Quinn, J. Teevan, Ruth Kikin-Gil, E. Horvitz",https://api.semanticscholar.org/CorpusID:86866942,Artifical Intelligence,,,,advanc artifici intellig ai frame opportun challeng user interfac design principl humanai interact discuss humancomput interact commun two decad studi innov need light advanc ai grow use ai technolog humanfac applic propos 18 gener applic design guidelin humanai interact guidelin valid multipl round evalu includ user studi 49 design practition test guidelin 20 popular aiinfus product result verifi relev guidelin spectrum interact scenario reveal gap knowledg highlight opportun research base evalu believ set design guidelin serv resourc practition work design applic featur har ai technolog research interest develop humanai interact design principl,guidelin humanai interact,guidelin humanai interact advanc artifici intellig ai frame opportun challeng user interfac design principl humanai interact discuss humancomput interact commun two decad studi innov need light advanc ai grow use ai technolog humanfac applic propos 18 gener applic design guidelin humanai interact guidelin valid multipl round evalu includ user studi 49 design practition test guidelin 20 popular aiinfus product result verifi relev guidelin spectrum interact scenario reveal gap knowledg highlight opportun research base evalu believ set design guidelin serv resourc practition work design applic featur har ai technolog research interest develop humanai interact design principl
63,Human–AI collaboration enables more empathic conversations in text-based peer-to-peer mental health support,"Advances in artificial intelligence (AI) are enabling systems that augment and collaborate with humans to perform simple, mechanistic tasks such as scheduling meetings and grammar-checking text. However, such human–AI collaboration poses challenges for more complex tasks, such as carrying out empathic conversations, due to the difficulties that AI systems face in navigating complex human emotions and the open-ended nature of these tasks. Here we focus on peer-to-peer mental health support, a setting in which empathy is critical for success, and examine how AI can collaborate with humans to facilitate peer empathy during textual, online supportive conversations. We develop HAILEY, an AI-in-the-loop agent that provides just-in-time feedback to help participants who provide support (peer supporters) respond more empathically to those seeking help (support seekers). We evaluate HAILEY in a non-clinical randomized controlled trial with real-world peer supporters on TalkLife ( N  = 300), a large online peer-to-peer support platform. We show that our human–AI collaboration approach leads to a 19.6% increase in conversational empathy between peers overall. Furthermore, we find a larger, 38.9% increase in empathy within the subsample of peer supporters who self-identify as experiencing difficulty providing support. We systematically analyse the human–AI collaboration patterns and find that peer supporters are able to use the AI feedback both directly and indirectly without becoming overly reliant on AI while reporting improved self-efficacy post-feedback. Our findings demonstrate the potential of feedback-driven, AI-in-the-loop writing systems to empower humans in open-ended, social and high-stakes tasks such as empathic conversations. AI language modelling and generation approaches have developed fast in the last decade, opening promising new directions in human–AI collaboration. An AI-in-the loop conversational system called HAILEY is developed to empower peer supporters in providing empathic responses to mental health support seekers.","Ashish Sharma, Inna Wanyin Lin, Adam S. Miner, David C. Atkins, Tim Althoff",https://api.semanticscholar.org/CorpusID: 247778407,Artifical Intelligence,,,,advanc artifici intellig ai enabl system augment collabor human perform simpl mechanist task schedul meet grammarcheck text howev human–ai collabor pose challeng complex task carri empath convers due difficulti ai system face navig complex human emot openend natur task focu peertop mental health support set empathi critic success examin ai collabor human facilit peer empathi textual onlin support convers develop hailey aiintheloop agent provid justintim feedback help particip provid support peer support respond empath seek help support seeker evalu hailey nonclin random control trial realworld peer support talklif n 300 larg onlin peertop support platform show human–ai collabor approach lead 196 increas convers empathi peer overal furthermor find larger 389 increas empathi within subsampl peer support selfidentifi experienc difficulti provid support systemat analys human–ai collabor pattern find peer support abl use ai feedback directli indirectli without becom overli reliant ai report improv selfefficaci postfeedback find demonstr potenti feedbackdriven aiintheloop write system empow human openend social highstak task empath convers ai languag model gener approach develop fast last decad open promis new direct human–ai collabor aiinth loop convers system call hailey develop empow peer support provid empath respons mental health support seeker,human–ai collabor enabl empath convers textbas peertop mental health support,human–ai collabor enabl empath convers textbas peertop mental health support advanc artifici intellig ai enabl system augment collabor human perform simpl mechanist task schedul meet grammarcheck text howev human–ai collabor pose challeng complex task carri empath convers due difficulti ai system face navig complex human emot openend natur task focu peertop mental health support set empathi critic success examin ai collabor human facilit peer empathi textual onlin support convers develop hailey aiintheloop agent provid justintim feedback help particip provid support peer support respond empath seek help support seeker evalu hailey nonclin random control trial realworld peer support talklif n 300 larg onlin peertop support platform show human–ai collabor approach lead 196 increas convers empathi peer overal furthermor find larger 389 increas empathi within subsampl peer support selfidentifi experienc difficulti provid support systemat analys human–ai collabor pattern find peer support abl use ai feedback directli indirectli without becom overli reliant ai report improv selfefficaci postfeedback find demonstr potenti feedbackdriven aiintheloop write system empow human openend social highstak task empath convers ai languag model gener approach develop fast last decad open promis new direct human–ai collabor aiinth loop convers system call hailey develop empow peer support provid empath respons mental health support seeker
64,Prevention of Phishing Attacks Using AI-Based Cybersecurity Awareness Training,"Machine learning has been described as an effective measure in avoiding most cyberattacks. The development of AI has therefore promoted increased security for most computer attacks. Phishing attacks are risky and can be prevented through AI-based solutions. This factor suggests the need for increased awareness of cybersecurity through AI. Developing awareness for most people will prevent these types of attacks. The research paper describes how the awareness of AI-based cybersecurity could ensure a reduction of phishing attacks. The paper, therefore, showcases the effectiveness of AI-based cybersecurity awareness training and how it may influence cyber-attacks.","Md Meraj Ansari, Pawan Kumar Sharma, Bibhu Dash",https://api.semanticscholar.org/CorpusID: 250651875,Artifical Intelligence,,,,machin learn describ effect measur avoid cyberattack develop ai therefor promot increas secur comput attack phish attack riski prevent aibas solut factor suggest need increas awar cybersecur ai develop awar peopl prevent type attack research paper describ awar aibas cybersecur could ensur reduct phish attack paper therefor showcas effect aibas cybersecur awar train may influenc cyberattack,prevent phish attack use aibas cybersecur awar train,prevent phish attack use aibas cybersecur awar train machin learn describ effect measur avoid cyberattack develop ai therefor promot increas secur comput attack phish attack riski prevent aibas solut factor suggest need increas awar cybersecur ai develop awar peopl prevent type attack research paper describ awar aibas cybersecur could ensur reduct phish attack paper therefor showcas effect aibas cybersecur awar train may influenc cyberattack
65,The application of AI technologies in STEM education: a systematic review from 2011 to 2021,"Background The application of artificial intelligence (AI) in STEM education (AI-STEM), as an emerging field, is confronted with a challenge of integrating diverse AI techniques and complex educational elements to meet instructional and learning needs. To gain a comprehensive understanding of AI applications in STEM education, this study conducted a systematic review to examine 63 empirical AI-STEM research from 2011 to 2021, grounded upon a general system theory (GST) framework. Results The results examined the major elements in the AI-STEM system as well as the effects of AI in STEM education. Six categories of AI applications were summarized and the results further showed the distribution relationships of the AI categories with other elements (i.e., information, subject, medium, environment) in AI-STEM. Moreover, the review revealed the educational and technological effects of AI in STEM education. Conclusions The application of AI technology in STEM education is confronted with the challenge of integrating diverse AI techniques in the complex STEM educational system. Grounded upon a GST framework, this research reviewed the empirical AI-STEM studies from 2011 to 2021 and proposed educational, technological, and theoretical implications to apply AI techniques in STEM education. Overall, the potential of AI technology for enhancing STEM education is fertile ground to be further explored together with studies aimed at investigating the integration of technology and educational system.","Weiqi Xu, Ouyang Fan",https://api.semanticscholar.org/CorpusID:252370184,Artifical Intelligence,,,,background applic artifici intellig ai stem educ aistem emerg field confront challeng integr divers ai techniqu complex educ element meet instruct learn need gain comprehens understand ai applic stem educ studi conduct systemat review examin 63 empir aistem research 2011 2021 ground upon gener system theori gst framework result result examin major element aistem system well effect ai stem educ six categori ai applic summar result show distribut relationship ai categori element ie inform subject medium environ aistem moreov review reveal educ technolog effect ai stem educ conclus applic ai technolog stem educ confront challeng integr divers ai techniqu complex stem educ system ground upon gst framework research review empir aistem studi 2011 2021 propos educ technolog theoret implic appli ai techniqu stem educ overal potenti ai technolog enhanc stem educ fertil ground explor togeth studi aim investig integr technolog educ system,applic ai technolog stem educ systemat review 2011 2021,applic ai technolog stem educ systemat review 2011 2021 background applic artifici intellig ai stem educ aistem emerg field confront challeng integr divers ai techniqu complex educ element meet instruct learn need gain comprehens understand ai applic stem educ studi conduct systemat review examin 63 empir aistem research 2011 2021 ground upon gener system theori gst framework result result examin major element aistem system well effect ai stem educ six categori ai applic summar result show distribut relationship ai categori element ie inform subject medium environ aistem moreov review reveal educ technolog effect ai stem educ conclus applic ai technolog stem educ confront challeng integr divers ai techniqu complex stem educ system ground upon gst framework research review empir aistem studi 2011 2021 propos educ technolog theoret implic appli ai techniqu stem educ overal potenti ai technolog enhanc stem educ fertil ground explor togeth studi aim investig integr technolog educ system
66,The Ethics of AI Ethics: An Evaluation of Guidelines,"Current advances in research, development and application of artificial intelligence (AI) systems have yielded a far-reaching discourse on AI ethics. In consequence, a number of ethics guidelines have been released in recent years. These guidelines comprise normative principles and recommendations aimed to harness the “disruptive” potentials of new AI technologies. Designed as a semi-systematic evaluation, this paper analyzes and compares 22 guidelines, highlighting overlaps but also omissions. As a result, I give a detailed overview of the field of AI ethics. Finally, I also examine to what extent the respective ethical principles and values are implemented in the practice of research, development and application of AI systems—and how the effectiveness in the demands of AI ethics can be improved.",Thilo Hagendorff,https://api.semanticscholar.org/CorpusID:72940833,Artifical Intelligence,,,,current advanc research develop applic artifici intellig ai system yield farreach discours ai ethic consequ number ethic guidelin releas recent year guidelin compris norm principl recommend aim har “ disrupt ” potenti new ai technolog design semisystemat evalu paper analyz compar 22 guidelin highlight overlap also omiss result give detail overview field ai ethic final also examin extent respect ethic principl valu implement practic research develop applic ai systems—and effect demand ai ethic improv,ethic ai ethic evalu guidelin,ethic ai ethic evalu guidelin current advanc research develop applic artifici intellig ai system yield farreach discours ai ethic consequ number ethic guidelin releas recent year guidelin compris norm principl recommend aim har “ disrupt ” potenti new ai technolog design semisystemat evalu paper analyz compar 22 guidelin highlight overlap also omiss result give detail overview field ai ethic final also examin extent respect ethic principl valu implement practic research develop applic ai systems—and effect demand ai ethic improv
67,Expanding Explainability: Towards Social Transparency in AI systems,"As AI-powered systems increasingly mediate consequential decision-making, their explainability is critical for end-users to take informed and accountable actions. Explanations in human-human interactions are socially-situated. AI systems are often socio-organizationally embedded. However, Explainable AI (XAI) approaches have been predominantly algorithm-centered. We take a developmental step towards socially-situated XAI by introducing and exploring Social Transparency (ST), a sociotechnically informed perspective that incorporates the socio-organizational context into explaining AI-mediated decision-making. To explore ST conceptually, we conducted interviews with 29 AI users and practitioners grounded in a speculative design scenario. We suggested constitutive design elements of ST and developed a conceptual framework to unpack ST’s effect and implications at the technical, decision-making, and organizational level. The framework showcases how ST can potentially calibrate trust in AI, improve decision-making, facilitate organizational collective actions, and cultivate holistic explainability. Our work contributes to the discourse of Human-Centered XAI by expanding the design space of XAI.","Upol Ehsan, Q. Liao, Michael J. Muller, Mark O. Riedl, Justin D. Weisz ",https://api.semanticscholar.org/CorpusID:231592467,Artifical Intelligence,,,,aipow system increasingli mediat consequenti decisionmak explain critic endus take inform account action explan humanhuman interact sociallysitu ai system often socioorganiz embed howev explain ai xai approach predominantli algorithmcent take development step toward sociallysitu xai introduc explor social transpar st sociotechn inform perspect incorpor socioorganiz context explain aimedi decisionmak explor st conceptu conduct interview 29 ai user practition ground specul design scenario suggest constitut design element st develop conceptu framework unpack st ’ effect implic technic decisionmak organiz level framework showcas st potenti calibr trust ai improv decisionmak facilit organiz collect action cultiv holist explain work contribut discours humancent xai expand design space xai,expand explain toward social transpar ai system,expand explain toward social transpar ai system aipow system increasingli mediat consequenti decisionmak explain critic endus take inform account action explan humanhuman interact sociallysitu ai system often socioorganiz embed howev explain ai xai approach predominantli algorithmcent take development step toward sociallysitu xai introduc explor social transpar st sociotechn inform perspect incorpor socioorganiz context explain aimedi decisionmak explor st conceptu conduct interview 29 ai user practition ground specul design scenario suggest constitut design element st develop conceptu framework unpack st ’ effect implic technic decisionmak organiz level framework showcas st potenti calibr trust ai improv decisionmak facilit organiz collect action cultiv holist explain work contribut discours humancent xai expand design space xai
68,A Review of Artificial Intelligence (AI) in Education from 2010 to 2020,"This study provided a content analysis of studies aiming to disclose how artificial intelligence (AI) has been applied to the education sector and explore the potential research trends and challenges of AI in education. A total of 100 papers including 63 empirical papers (74 studies) and 37 analytic papers were selected from the education and educational research category of Social Sciences Citation Index database from 2010 to 2020. The content analysis showed that the research questions could be classified into development layer (classification, matching, recommendation, and deep learning), application layer (feedback, reasoning, and adaptive learning), and integration layer (affection computing, role-playing, immersive learning, and gamification). Moreover, four research trends, including Internet of Things, swarm intelligence, deep learning, and neuroscience, as well as an assessment of AI in education, were suggested for further investigation. However, we also proposed the challenges in education may be caused by AI with regard to inappropriate use of AI techniques, changing roles of teachers and students, as well as social and ethical issues. The results provide insights into an overview of the AI used for education domain, which helps to strengthen the theoretical foundation of AI in education and provides a promising channel for educators and AI engineers to carry out further collaborative research.","Xuesong Zhai, Xiaoyan Chu, C. Chai, M. Jong, A. Istenič, Michael Spector, Jia-bao Liu, Jing Yuan, Yan Li ",https://api.semanticscholar.org/CorpusID:234785693,Artifical Intelligence,,,,studi provid content analysi studi aim disclos artifici intellig ai appli educ sector explor potenti research trend challeng ai educ total 100 paper includ 63 empir paper 74 studi 37 analyt paper select educ educ research categori social scienc citat index databas 2010 2020 content analysi show research question could classifi develop layer classif match recommend deep learn applic layer feedback reason adapt learn integr layer affect comput roleplay immers learn gamif moreov four research trend includ internet thing swarm intellig deep learn neurosci well assess ai educ suggest investig howev also propos challeng educ may caus ai regard inappropri use ai techniqu chang role teacher student well social ethic issu result provid insight overview ai use educ domain help strengthen theoret foundat ai educ provid promis channel educ ai engin carri collabor research,review artifici intellig ai educ 2010 2020,review artifici intellig ai educ 2010 2020 studi provid content analysi studi aim disclos artifici intellig ai appli educ sector explor potenti research trend challeng ai educ total 100 paper includ 63 empir paper 74 studi 37 analyt paper select educ educ research categori social scienc citat index databas 2010 2020 content analysi show research question could classifi develop layer classif match recommend deep learn applic layer feedback reason adapt learn integr layer affect comput roleplay immers learn gamif moreov four research trend includ internet thing swarm intellig deep learn neurosci well assess ai educ suggest investig howev also propos challeng educ may caus ai regard inappropri use ai techniqu chang role teacher student well social ethic issu result provid insight overview ai use educ domain help strengthen theoret foundat ai educ provid promis channel educ ai engin carri collabor research
69,"Sustainable AI: Environmental Implications, Challenges and Opportunities","This paper explores the environmental impact of the super-linear growth trends for AI from a holistic perspective, spanning Data, Algorithms, and System Hardware. We characterize the carbon footprint of AI computing by examining the model development cycle across industry-scale machine learning use cases and, at the same time, considering the life cycle of system hardware. Taking a step further, we capture the operational and manufacturing carbon footprint of AI computing and present an end-to-end analysis for what and how hardware-software design and at-scale optimization can help reduce the overall carbon footprint of AI. Based on the industry experience and lessons learned, we share the key challenges and chart out important development directions across the many dimensions of AI. We hope the key messages and insights presented in this paper can inspire the community to advance the field of AI in an environmentally-responsible manner.","Carole-Jean Wu, R. Raghavendra, Udit Gupta, Bilge Acun, Newsha Ardalani, Kiwan Maeng, Gloria Chang, Fiona Aga Behram, James Huang, Charles Bai, M. Gschwind, Anurag Gupta, Myle Ott, Anastasia Melnikov, Salvatore Candido, David Brooks, Geeta Chauhan, Benjamin Lee, Hsien-Hsin S. Lee, Bugra Akyildiz, Maximilian Balandat, Joe Spisak, R. Jain, M. Rabbat, K. Hazelwood",https://api.semanticscholar.org/CorpusID:240354766,Artifical Intelligence,,,,paper explor environment impact superlinear growth trend ai holist perspect span data algorithm system hardwar character carbon footprint ai comput examin model develop cycl across industryscal machin learn use case time consid life cycl system hardwar take step captur oper manufactur carbon footprint ai comput present endtoend analysi hardwaresoftwar design atscal optim help reduc overal carbon footprint ai base industri experi lesson learn share key challeng chart import develop direct across mani dimens ai hope key messag insight present paper inspir commun advanc field ai environmentallyrespons manner,sustain ai environment implic challeng opportun,sustain ai environment implic challeng opportun paper explor environment impact superlinear growth trend ai holist perspect span data algorithm system hardwar character carbon footprint ai comput examin model develop cycl across industryscal machin learn use case time consid life cycl system hardwar take step captur oper manufactur carbon footprint ai comput present endtoend analysi hardwaresoftwar design atscal optim help reduc overal carbon footprint ai base industri experi lesson learn share key challeng chart import develop direct across mani dimens ai hope key messag insight present paper inspir commun advanc field ai environmentallyrespons manner
70,Sustainable AI: AI for sustainability and the sustainability of AI,"While there is a growing effort towards AI for Sustainability (e.g. towards the sustainable development goals) it is time to move beyond that and to address the sustainability of developing and using AI systems. In this paper I propose a definition of Sustainable AI; Sustainable AI is a movement to foster change in the entire lifecycle of AI products (i.e. idea generation, training, re-tuning, implementation, governance) towards greater ecological integrity and social justice. As such, Sustainable AI is focused on more than AI applications; rather, it addresses the whole sociotechnical system of AI. I have suggested here that Sustainable AI is not about how to sustain the development of AI per say but it is about how to develop AI that is compatible with sustaining environmental resources for current and future generations; economic models for societies; and societal values that are fundamental to a given society. I have articulated that the phrase Sustainable AI be understood as having two branches; AI for sustainability and sustainability of AI (e.g. reduction of carbon emissions and computing power). I propose that Sustainable AI take sustainable development at the core of its definition with three accompanying tensions between AI innovation and equitable resource distribution; inter and intra-generational justice; and, between environment, society, and economy. This paper is not meant to engage with each of the three pillars of sustainability (i.e. social, economic, environment), and as such the pillars of sustainable AI. Rather, this paper is meant to inspire the reader, the policy maker, the AI ethicist, the AI developer to connect with the environment—to remember that there are environmental costs to AI. Further, to direct funding towards sustainable methods of AI.",A. van Wynsberghe,https://api.semanticscholar.org/CorpusID:233944874,Artifical Intelligence,,,,grow effort toward ai sustain eg toward sustain develop goal time move beyond address sustain develop use ai system paper propos definit sustain ai sustain ai movement foster chang entir lifecycl ai product ie idea gener train retun implement govern toward greater ecolog integr social justic sustain ai focus ai applic rather address whole sociotechn system ai suggest sustain ai sustain develop ai per say develop ai compat sustain environment resourc current futur gener econom model societi societ valu fundament given societi articul phrase sustain ai understood two branch ai sustain sustain ai eg reduct carbon emiss comput power propos sustain ai take sustain develop core definit three accompani tension ai innov equit resourc distribut inter intragener justic environ societi economi paper meant engag three pillar sustain ie social econom environ pillar sustain ai rather paper meant inspir reader polici maker ai ethicist ai develop connect environment—to rememb environment cost ai direct fund toward sustain method ai,sustain ai ai sustain sustain ai,sustain ai ai sustain sustain ai grow effort toward ai sustain eg toward sustain develop goal time move beyond address sustain develop use ai system paper propos definit sustain ai sustain ai movement foster chang entir lifecycl ai product ie idea gener train retun implement govern toward greater ecolog integr social justic sustain ai focus ai applic rather address whole sociotechn system ai suggest sustain ai sustain develop ai per say develop ai compat sustain environment resourc current futur gener econom model societi societ valu fundament given societi articul phrase sustain ai understood two branch ai sustain sustain ai eg reduct carbon emiss comput power propos sustain ai take sustain develop core definit three accompani tension ai innov equit resourc distribut inter intragener justic environ societi economi paper meant engag three pillar sustain ie social econom environ pillar sustain ai rather paper meant inspir reader polici maker ai ethicist ai develop connect environment—to rememb environment cost ai direct fund toward sustain method ai
71,AI and the Everything in the Whole Wide World Benchmark,"There is a tendency across different subfields in AI to valorize a small collection of influential benchmarks. These benchmarks operate as stand-ins for a range of anointed common problems that are frequently framed as foundational milestones on the path towards flexible and generalizable AI systems. State-of-the-art performance on these benchmarks is widely understood as indicative of progress towards these long-term goals. In this position paper, we explore the limits of such benchmarks in order to reveal the construct validity issues in their framing as the functionally""general""broad measures of progress they are set up to be.","Inioluwa Deborah Raji, Emily M. Bender, Amandalynne Paullada, Emily L. Denton, A. Hanna ",https://api.semanticscholar.org/CorpusID:244729397,Artifical Intelligence,,,,tendenc across differ subfield ai valor small collect influenti benchmark benchmark oper standin rang anoint common problem frequent frame foundat mileston path toward flexibl generaliz ai system stateoftheart perform benchmark wide understood indic progress toward longterm goal posit paper explor limit benchmark order reveal construct valid issu frame functionallygeneralbroad measur progress set,ai everyth whole wide world benchmark,ai everyth whole wide world benchmark tendenc across differ subfield ai valor small collect influenti benchmark benchmark oper standin rang anoint common problem frequent frame foundat mileston path toward flexibl generaliz ai system stateoftheart perform benchmark wide understood indic progress toward longterm goal posit paper explor limit benchmark order reveal construct valid issu frame functionallygeneralbroad measur progress set
72,Protocol for development of a reporting guideline (TRIPOD-AI) and risk of bias tool (PROBAST-AI) for diagnostic and prognostic prediction model studies based on artificial intelligence,"Introduction The Transparent Reporting of a multivariable prediction model of Individual Prognosis Or Diagnosis (TRIPOD) statement and the Prediction model Risk Of Bias ASsessment Tool (PROBAST) were both published to improve the reporting and critical appraisal of prediction model studies for diagnosis and prognosis. This paper describes the processes and methods that will be used to develop an extension to the TRIPOD statement (TRIPOD-artificial intelligence, AI) and the PROBAST (PROBAST-AI) tool for prediction model studies that applied machine learning techniques. Methods and analysis TRIPOD-AI and PROBAST-AI will be developed following published guidance from the EQUATOR Network, and will comprise five stages. Stage 1 will comprise two systematic reviews (across all medical fields and specifically in oncology) to examine the quality of reporting in published machine-learning-based prediction model studies. In stage 2, we will consult a diverse group of key stakeholders using a Delphi process to identify items to be considered for inclusion in TRIPOD-AI and PROBAST-AI. Stage 3 will be virtual consensus meetings to consolidate and prioritise key items to be included in TRIPOD-AI and PROBAST-AI. Stage 4 will involve developing the TRIPOD-AI checklist and the PROBAST-AI tool, and writing the accompanying explanation and elaboration papers. In the final stage, stage 5, we will disseminate TRIPOD-AI and PROBAST-AI via journals, conferences, blogs, websites (including TRIPOD, PROBAST and EQUATOR Network) and social media. TRIPOD-AI will provide researchers working on prediction model studies based on machine learning with a reporting guideline that can help them report key details that readers need to evaluate the study quality and interpret its findings, potentially reducing research waste. We anticipate PROBAST-AI will help researchers, clinicians, systematic reviewers and policymakers critically appraise the design, conduct and analysis of machine learning based prediction model studies, with a robust standardised tool for bias evaluation. Ethics and dissemination Ethical approval has been granted by the Central University Research Ethics Committee, University of Oxford on 10-December-2020 (R73034/RE001). Findings from this study will be disseminated through peer-review publications. PROSPERO registration number CRD42019140361 and CRD42019161764.","G. Collins, P. Dhiman, Constanza L. Andaur Navarro, Jie Ma, L. Hooft, J. Reitsma, P. Logullo, Andrew Beam, L. Peng, B. Van calster, M. van Smeden, R. Riley, K. Moons",https://api.semanticscholar.org/CorpusID:235787323,Artifical Intelligence,,,,introduct transpar report multivari predict model individu prognosi diagnosi tripod statement predict model risk bia assess tool probast publish improv report critic apprais predict model studi diagnosi prognosi paper describ process method use develop extens tripod statement tripodartifici intellig ai probast probastai tool predict model studi appli machin learn techniqu method analysi tripodai probastai develop follow publish guidanc equat network compris five stage stage 1 compris two systemat review across medic field specif oncolog examin qualiti report publish machinelearningbas predict model studi stage 2 consult divers group key stakehold use delphi process identifi item consid inclus tripodai probastai stage 3 virtual consensu meet consolid prioritis key item includ tripodai probastai stage 4 involv develop tripodai checklist probastai tool write accompani explan elabor paper final stage stage 5 dissemin tripodai probastai via journal confer blog websit includ tripod probast equat network social media tripodai provid research work predict model studi base machin learn report guidelin help report key detail reader need evalu studi qualiti interpret find potenti reduc research wast anticip probastai help research clinician systemat review policymak critic apprais design conduct analysi machin learn base predict model studi robust standardis tool bia evalu ethic dissemin ethic approv grant central univers research ethic committe univers oxford 10december2020 r73034re001 find studi dissemin peerreview public prospero registr number crd42019140361 crd42019161764,protocol develop report guidelin tripodai risk bia tool probastai diagnost prognost predict model studi base artifici intellig,protocol develop report guidelin tripodai risk bia tool probastai diagnost prognost predict model studi base artifici intellig introduct transpar report multivari predict model individu prognosi diagnosi tripod statement predict model risk bia assess tool probast publish improv report critic apprais predict model studi diagnosi prognosi paper describ process method use develop extens tripod statement tripodartifici intellig ai probast probastai tool predict model studi appli machin learn techniqu method analysi tripodai probastai develop follow publish guidanc equat network compris five stage stage 1 compris two systemat review across medic field specif oncolog examin qualiti report publish machinelearningbas predict model studi stage 2 consult divers group key stakehold use delphi process identifi item consid inclus tripodai probastai stage 3 virtual consensu meet consolid prioritis key item includ tripodai probastai stage 4 involv develop tripodai checklist probastai tool write accompani explan elabor paper final stage stage 5 dissemin tripodai probastai via journal confer blog websit includ tripod probast equat network social media tripodai provid research work predict model studi base machin learn report guidelin help report key detail reader need evalu studi qualiti interpret find potenti reduc research wast anticip probastai help research clinician systemat review policymak critic apprais design conduct analysi machin learn base predict model studi robust standardis tool bia evalu ethic dissemin ethic approv grant central univers research ethic committe univers oxford 10december2020 r73034re001 find studi dissemin peerreview public prospero registr number crd42019140361 crd42019161764
73,How to cheat on your final paper: Assigning AI for student writing,"This paper shares results from a pedagogical experiment that assigns undergraduates to “cheat” on a final class essay by requiring their use of text-generating AI software. For this assignment, students harvested content from an installation of GPT-2, then wove that content into their final essay. At the end, students offered a “revealed” version of the essay as well as their own reflections on the experiment. In this assignment, students were specifically asked to confront the oncoming availability of AI as a writing tool. What are the ethics of using AI this way? What counts as plagiarism? What are the conditions, if any, we should place on AI assistance for student writing? And how might working with AI change the way we think about writing, authenticity, and creativity? While students (and sometimes GPT-2) offered thoughtful reflections on these initial questions, actually composing with GPT-2 opened their perspectives more broadly on the ethics and practice of writing with AI. In this paper, I share how students experienced those issues, connect their insights to broader conversations in the humanities about writing and communication, and explain their relevance for the ethical use and evaluation of language models.",Paul Fyfe,https://api.semanticscholar.org/CorpusID: 247403200,Artifical Intelligence,,,,paper share result pedagog experi assign undergradu “ cheat ” final class essay requir use textgener ai softwar assign student harvest content instal gpt2 wove content final essay end student offer “ reveal ” version essay well reflect experi assign student specif ask confront oncom avail ai write tool ethic use ai way count plagiar condit place ai assist student write might work ai chang way think write authent creativ student sometim gpt2 offer thought reflect initi question actual compos gpt2 open perspect broadli ethic practic write ai paper share student experienc issu connect insight broader convers human write commun explain relev ethic use evalu languag model,cheat final paper assign ai student write,cheat final paper assign ai student write paper share result pedagog experi assign undergradu “ cheat ” final class essay requir use textgener ai softwar assign student harvest content instal gpt2 wove content final essay end student offer “ reveal ” version essay well reflect experi assign student specif ask confront oncom avail ai write tool ethic use ai way count plagiar condit place ai assist student write might work ai chang way think write authent creativ student sometim gpt2 offer thought reflect initi question actual compos gpt2 open perspect broadli ethic practic write ai paper share student experienc issu connect insight broader convers human write commun explain relev ethic use evalu languag model
74,AI2-THOR: An Interactive 3D Environment for Visual AI,"We introduce The House Of inteRactions (THOR), a framework for visual AI research, available at this http URL AI2-THOR consists of near photo-realistic 3D indoor scenes, where AI agents can navigate in the scenes and interact with objects to perform tasks. AI2-THOR enables research in many different domains including but not limited to deep reinforcement learning, imitation learning, learning by interaction, planning, visual question answering, unsupervised representation learning, object detection and segmentation, and learning models of cognition. The goal of AI2-THOR is to facilitate building visually intelligent models and push the research forward in this domain.","Eric Kolve, Roozbeh Mottaghi, Winson Han, Eli VanderBilt, Luca Weihs, Alvaro Herrasti, Matt Deitke, Kiana Ehsani, Daniel Gordon, Yuke Zhu, Aniruddha Kembhavi, A. Gupta, Ali Farhadi ",https://api.semanticscholar.org/CorpusID:28328610,Artifical Intelligence,,,,introduc hous interact thor framework visual ai research avail http url ai2thor consist near photorealist 3d indoor scene ai agent navig scene interact object perform task ai2thor enabl research mani differ domain includ limit deep reinforc learn imit learn learn interact plan visual question answer unsupervis represent learn object detect segment learn model cognit goal ai2thor facilit build visual intellig model push research forward domain,ai2thor interact 3d environ visual ai,ai2thor interact 3d environ visual ai introduc hous interact thor framework visual ai research avail http url ai2thor consist near photorealist 3d indoor scene ai agent navig scene interact object perform task ai2thor enabl research mani differ domain includ limit deep reinforc learn imit learn learn interact plan visual question answer unsupervis represent learn object detect segment learn model cognit goal ai2thor facilit build visual intellig model push research forward domain
